2.222222222222222499e+01,2.916666666666666785e+01,4.194444444444444287e+01,4.111111111111111427e+01,4.777777777777777146e+01,5.083333333333333570e+01,4.305555555555556424e+01,4.777777777777777857e+01,5.444444444444443576e+01,4.527777777777777857e+01
2.972222222222222499e+01,3.555555555555555713e+01,4.388888888888889284e+01,5.472222222222222854e+01,6.611111111111110006e+01,5.666666666666666430e+01,4.777777777777777146e+01,5.444444444444443576e+01,6.333333333333332149e+01,5.777777777777777146e+01
3.500000000000000000e+01,5.305555555555556424e+01,5.944444444444444997e+01,6.638888888888888573e+01,6.527777777777777146e+01,6.583333333333332860e+01,6.361111111111110716e+01,7.055555555555555713e+01,7.277777777777778567e+01,6.527777777777777146e+01
4.166666666666666430e+01,6.750000000000000000e+01,6.888888888888889994e+01,7.861111111111110006e+01,7.305555555555555713e+01,7.666666666666667140e+01,7.666666666666667140e+01,7.888888888888889994e+01,7.833333333333332860e+01,7.888888888888887152e+01
4.888888888888888573e+01,6.583333333333332860e+01,7.305555555555555713e+01,8.083333333333332860e+01,8.166666666666667140e+01,8.583333333333332860e+01,8.527777777777778567e+01,8.555555555555555713e+01,8.583333333333332860e+01,7.916666666666667140e+01
6.500000000000000000e+01,7.444444444444444287e+01,8.555555555555555713e+01,8.694444444444444287e+01,8.694444444444444287e+01,8.861111111111112848e+01,8.861111111111110006e+01,8.888888888888889994e+01,8.972222222222221433e+01,8.916666666666667140e+01
6.527777777777778567e+01,8.555555555555555713e+01,8.444444444444444287e+01,8.777777777777777146e+01,9.055555555555554292e+01,9.166666666666667140e+01,9.277777777777777146e+01,9.166666666666667140e+01,9.194444444444444287e+01,9.138888888888887152e+01
6.527777777777777146e+01,8.138888888888889994e+01,8.750000000000000000e+01,8.944444444444444287e+01,9.083333333333332860e+01,9.138888888888887152e+01,9.250000000000000000e+01,9.222222222222221433e+01,9.250000000000000000e+01,9.305555555555555713e+01
7.444444444444444287e+01,8.194444444444444287e+01,8.750000000000000000e+01,8.972222222222221433e+01,9.361111111111112848e+01,9.277777777777777146e+01,9.222222222222221433e+01,9.305555555555555713e+01,9.277777777777777146e+01,9.305555555555554292e+01
6.944444444444444287e+01,8.444444444444444287e+01,8.944444444444444287e+01,9.194444444444445708e+01,9.277777777777777146e+01,9.333333333333332860e+01,9.361111111111110006e+01,9.305555555555555713e+01,9.277777777777777146e+01,9.388888888888889994e+01
